Curriculum,Computer Science,,,,,,,,
Degree Plan,2025 Degree Requirements,,,,,,,,
Institution,Virginia Tech,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Credit Hours,Term,Failure Rate,Frequency
117,CS 1114: Intro to Software Design,CS,1114,0,0,3,1,31%,4
158,ENGE 1215: Foundations of Engineering I,ENGE,1215,0,0,2,1,4%,3
160,ENGL 1105: First-Year Writing I,ENGL,1105,0,0,3,1,7%,3
197,MATH 1225: Calculus of a Single Variable,MATH,1225,0,0,4,1,32%,4
291,Natural Science Elective,0,0,0,0,4,1,,
120,CS 2114: Software Design & Data Structures,CS,2114,117,0,3,2,11%,4
159,ENGE 1216: Foundations of Engineering II,ENGE,1216,158,0,2,2,2%,3
161,ENGL 1106: First-Year Writing II,ENGL,1106,160,0,3,2,7%,3
199,MATH 1226: Calculus of a Single Variable II,MATH,1226,197,0,4,2,30%,4
291,Natural Science Elective,0,0,0,0,4,2,,
118,CS 1944: Computer Science 1st Yr Sem,CS,1944,117,0,1,3,0%,4
119,CS 2104: Intro to Problem Solving,CS,2104,117;197,0,3,3,3%,3
121,CS 2505: Intro to Computer Organization,CS,2505,120,203,3,3,11%,3
203,MATH 2534: Intro to Discrete Mathematics (CS),MATH,2534,117,0,3,3,24%,3
292,Pathways,0,0,0,0,3,3,,
292,Pathways,0,0,0,0,3,3,,
122,CS 2506: Intro to Computer Organization II,CS,2506,120;121;203,0,3,4,9%,3
200,MATH 2114: Introduction to Linear Algebra,MATH,2114,197,0,3,4,24%,3
201,MATH 2204: Introduction to Multivariable Calculus,MATH,2204,199,0,3,4,30%,3
116,COMM 2004: Communication,COMM,2004,0,0,3,4,2%,3
330,Advanced Natural Science Elective,0,0,291,0,4,4,,
123,CS 3114: Data Structures and Algorithms,CS,3114,120;121;203,0,3,5,14%,3
282,CS 3/4/5XXX Elective,0,0,0,0,3,5,,
204,MATH 3134: Applied Combinatorics,MATH,3134,203;199,0,3,5,16%,3
294,Professional Writing Elective,0,0,161,0,3,5,,
292,Pathways,0,0,0,0,3,5,,
124,CS 3214: Computer Systems,CS,3214,122;120,0,3,6,13%,2
126,CS 3604: Professionalism in Computing,CS,3604,118;116;120,0,3,6,2%,4
299,Statistics Elective (CS),0,0,201,0,3,6,,
292,Pathways,0,0,0,0,3,6,,
292,Pathways,0,0,0,0,3,6,,
125,CS 3304: Comparative Languages,CS,3304,123,0,3,7,8%,3
285,CS Theory Elective,0,0,123;204,0,3,7,,
282,CS 3/4/5XXX Elective,0,0,0,0,3,7,,
284,CS Technical Elective,0,0,0,0,3,7,,
288,Free Elective,0,0,0,0,3,7,,
127,CS 4944: Senior Seminar,CS,4944,126,0,1,8,0%,3
128,CS 4XXX Capstone,0,0,123,0,3,8,,
283,CS 4/5XXX Elective,0,0,0,0,3,8,,
292,Pathways,0,0,0,0,3,8,,
288,Free Elective,0,0,0,0,4,8,,
